Name,Team,Pos,YDS,TD,INT,YPA,ATT,YDS.1,AVG,TD.1,REC,YDS.2,AVG.1,TD.2,YDS.3,TD.3,YDS.4,TD.4,Health_Risk,Previous_Points,Age,Dynasty_Age_Factor,Targets,Snap_Pct,Points,Rank,Tier,Overall_Rank
demario douglas,NE,WR,0.0,0.0,0.0,0.0,5.0,23.0,4.6,0.0,50.0,544.0,10.9,3.0,0.0,0.0,0.0,0.0,1.0,81.7,24.0,1.05,0,0,115.6995,64.0,13.0,116
kyle pitts,ATL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,573.0,12.5,3.0,0.0,0.0,0.0,0.0,1.0,84.2,24.0,1.05,0,0,115.6785,9.0,2.0,117
t.j. hockenson,MIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,748.0,10.7,5.0,0.0,0.0,0.0,0.0,1.0,45.5,28.0,0.85,0,0,115.60849999999999,10.0,2.0,118
tre harris,LAC,WR,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,53.0,725.0,13.7,4.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,1.1,0,0,115.115,65.0,13.0,119
tyler warren,IND,TE,0.0,0.0,0.0,0.0,2.0,11.0,5.5,0.0,61.0,624.0,10.2,4.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,1.1,0,0,113.498,11.0,3.0,120
joshua palmer,BUF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,614.0,13.1,4.0,0.0,0.0,0.0,0.0,1.0,68.4,25.0,1.0,0,0,113.19999999999999,66.0,14.0,121
d'andre swift,CHI,RB,0.0,0.0,0.0,0.0,198.0,827.0,4.2,5.0,35.0,248.0,7.1,1.0,0.0,0.0,0.0,0.0,1.0,172.5,26.0,0.95,0,0,112.7195,14.0,3.0,122
derrick henry,BAL,RB,0.0,0.0,0.0,0.0,285.0,1542.0,5.4,13.0,15.0,143.0,9.5,1.0,0.0,0.0,0.0,0.0,1.0,317.4,31.0,0.7,0,0,112.45099999999998,15.0,3.0,123
tyler shough,NO,QB,2432.0,13.0,11.0,6.6,57.0,269.0,4.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,1.0,0,0,111.36999999999999,32.0,7.0,124
dalton kincaid,BUF,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,585.0,10.1,3.0,0.0,0.0,0.0,0.0,1.0,56.8,25.0,1.0,0,0,111.19,12.0,3.0,125
jake ferguson,DAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,612.0,9.9,4.0,0.0,0.0,0.0,0.0,1.0,45.4,26.0,0.95,0,0,110.827,13.0,3.0,126
zach charbonnet,SEA,RB,0.0,0.0,0.0,0.0,101.0,425.0,4.2,3.0,38.0,274.0,7.2,1.0,0.0,0.0,0.0,0.0,1.0,144.9,24.0,1.05,0,0,108.2225,16.0,4.0,127
jaylen warren,PIT,RB,0.0,0.0,0.0,0.0,171.0,747.0,4.4,4.0,42.0,311.0,7.4,1.0,207.0,0.0,0.0,0.0,1.0,86.1,26.0,0.95,0,0,108.00549999999998,17.0,4.0,128
jack bech,LV,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,621.0,11.7,4.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,1.1,0,0,107.107,67.0,14.0,129
david njoku,CLE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,651.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,84.5,29.0,0.8,0,0,106.57600000000001,14.0,3.0,130
kirk cousins,ATL,QB,655.0,4.0,2.0,6.8,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,192.3,,1.0,0,0,105.53750000000001,33.0,7.0,131
cooper kupp,SEA,WR,0.0,0.0,0.0,0.0,2.0,11.0,5.5,0.0,67.0,703.0,10.5,5.0,0.0,0.0,0.0,0.0,1.0,108.0,32.0,0.7,0,0,104.65699999999998,68.0,14.0,132
travis kelce,KC,TE,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,71.0,702.0,9.9,5.0,0.0,0.0,0.0,0.0,1.0,98.4,35.0,0.7,0,0,104.55199999999998,15.0,3.0,133
romeo doubs,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,488.0,12.5,4.0,0.0,0.0,0.0,0.0,1.0,86.1,25.0,1.0,0,0,104.08999999999999,69.0,14.0,134
isaiah likely,BAL,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,469.0,11.2,4.0,0.0,0.0,0.0,0.0,1.0,81.7,25.0,1.0,0,0,103.54,16.0,4.0,135
james conner,ARI,RB,0.0,0.0,0.0,0.0,214.0,981.0,4.6,8.0,35.0,259.0,7.4,1.0,0.0,0.0,0.0,0.0,1.0,206.8,30.0,0.75,0,0,103.05250000000001,18.0,4.0,136
christian kirk,HOU,WR,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,59.0,694.0,11.8,4.0,0.0,0.0,0.0,0.0,1.0,43.9,28.0,0.85,0,0,101.87249999999999,70.0,14.0,137
michael wilson,ARI,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,532.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,77.5,25.0,1.0,0,0,101.78999999999999,71.0,15.0,138
tyrone tracy,NYG,RB,0.0,0.0,0.0,0.0,170.0,724.0,4.3,4.0,31.0,221.0,7.1,1.0,0.0,0.0,0.0,0.0,1.0,144.3,25.0,1.0,0,0,101.66,19.0,4.0,139
jalen coker,CAR,WR,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,39.0,490.0,12.6,3.0,0.0,0.0,0.0,0.0,1.0,60.6,23.0,1.1,0,0,101.61800000000001,72.0,15.0,140
christian mccaffrey,SF,RB,0.0,0.0,0.0,0.0,215.0,972.0,4.5,8.0,61.0,498.0,8.2,3.0,0.0,0.0,0.0,0.0,1.0,32.8,29.0,0.8,0,0,101.5,20.0,4.0,141
ashton jeanty,LV,RB,0.0,0.0,0.0,0.0,280.0,1235.0,4.4,8.0,43.0,319.0,7.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.2,0,0,100.996,21.0,5.0,142
aaron jones,MIN,RB,0.0,0.0,0.0,0.0,186.0,798.0,4.3,4.0,36.0,270.0,7.5,2.0,0.0,0.0,0.0,0.0,1.0,190.6,30.0,0.75,0,0,100.86000000000001,22.0,5.0,143
jonnu smith,PIT,TE,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,51.0,523.0,10.3,3.0,0.0,0.0,0.0,0.0,1.0,134.3,29.0,0.8,0,0,100.16,17.0,4.0,144
joe mixon,HOU,RB,0.0,0.0,0.0,0.0,178.0,738.0,4.1,6.0,30.0,221.0,7.4,1.0,0.0,0.0,0.0,0.0,1.0,204.5,29.0,0.8,0,0,99.416,23.0,5.0,145
ja'tavion sanders,CAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,439.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,40.2,22.0,1.15,0,0,99.11849999999998,18.0,4.0,146
kyle williams,NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,588.0,14.7,4.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,98.85399999999998,73.0,15.0,147
sean tucker,TB,RB,0.0,0.0,0.0,0.0,51.0,221.0,4.3,2.0,9.0,65.0,7.2,0.0,685.0,2.0,0.0,0.0,1.0,59.7,23.0,1.1,0,0,98.72099999999999,24.0,5.0,148
stefon diggs,NE,WR,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,69.0,761.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,74.9,31.0,0.7,0,0,98.588,74.0,15.0,149
tony pollard,TEN,RB,0.0,0.0,0.0,0.0,215.0,918.0,4.3,5.0,31.0,225.0,7.3,1.0,0.0,0.0,0.0,0.0,1.0,159.7,28.0,0.85,0,0,97.626,25.0,5.0,150
kayshon boutte,NE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,427.0,13.3,3.0,0.0,0.0,0.0,0.0,1.0,78.9,23.0,1.1,0,0,97.41600000000001,75.0,15.0,151
chig okonkwo,TEN,TE,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,48.0,467.0,9.7,3.0,0.0,0.0,0.0,0.0,1.0,61.6,25.0,1.0,0,0,97.37,19.0,4.0,152
dontayvion wicks,GB,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,467.0,12.6,3.0,0.0,0.0,0.0,0.0,1.0,71.5,24.0,1.05,0,0,97.272,76.0,16.0,153
cade otton,TB,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,462.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,81.6,26.0,0.95,0,0,96.539,20.0,4.0,154
pat freiermuth,PIT,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,415.0,10.1,3.0,0.0,0.0,0.0,0.0,1.0,103.3,26.0,0.95,0,0,96.27299999999998,21.0,5.0,155
mason taylor,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,476.0,10.1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.2,0,0,94.58399999999999,22.0,5.0,156
xavier legette,CAR,WR,0.0,0.0,0.0,0.0,4.0,18.0,4.5,0.0,34.0,431.0,12.7,3.0,0.0,0.0,0.0,0.0,1.0,76.1,24.0,1.05,0,0,93.86999999999999,77.0,16.0,157
juwan johnson,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,438.0,10.7,3.0,0.0,0.0,0.0,0.0,1.0,72.8,,1.0,0,0,93.8,23.0,5.0,158
najee harris,LAC,RB,0.0,0.0,0.0,0.0,165.0,692.0,4.2,5.0,26.0,179.0,6.9,1.0,0.0,0.0,0.0,0.0,1.0,168.6,27.0,0.9,0,0,93.45899999999999,26.0,6.0,159
david montgomery,DET,RB,0.0,0.0,0.0,0.0,185.0,797.0,4.3,9.0,23.0,173.0,7.5,1.0,0.0,0.0,0.0,0.0,1.0,185.7,28.0,0.85,0,0,93.40199999999999,27.0,6.0,160
j.k. dobbins,DEN,RB,0.0,0.0,0.0,0.0,130.0,546.0,4.2,5.0,27.0,191.0,7.1,1.0,0.0,0.0,0.0,0.0,1.0,159.8,26.0,0.95,0,0,93.1895,28.0,6.0,161
cedric tillman,CLE,WR,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,40.0,527.0,13.2,3.0,0.0,0.0,0.0,0.0,1.0,51.4,25.0,1.0,0,0,92.91,78.0,16.0,162
dallas goedert,PHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,655.0,10.9,4.0,0.0,0.0,0.0,0.0,1.0,61.6,30.0,0.75,0,0,92.3475,24.0,5.0,163
rachaad white,TB,RB,0.0,0.0,0.0,0.0,80.0,335.0,4.2,2.0,33.0,241.0,7.3,1.0,0.0,0.0,0.0,0.0,1.0,148.6,26.0,0.95,0,0,92.3125,29.0,6.0,164
tyjae spears,TEN,RB,0.0,0.0,0.0,0.0,108.0,457.0,4.2,3.0,31.0,226.0,7.3,1.0,149.0,0.0,0.0,0.0,1.0,83.6,24.0,1.05,0,0,91.8915,30.0,6.0,165
mike gesicki,CIN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,569.0,10.3,3.0,0.0,0.0,0.0,0.0,1.0,76.5,29.0,0.8,0,0,91.104,25.0,5.0,166
allen lazard,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,410.0,12.8,3.0,0.0,0.0,0.0,0.0,1.0,89.0,,1.0,0,0,90.39999999999999,79.0,16.0,167
daniel jones,IND,QB,793.0,4.0,3.0,6.6,23.0,116.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,142.3,,1.0,0,0,89.8675,34.0,7.0,168
hunter henry,NE,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,564.0,10.4,4.0,0.0,0.0,0.0,0.0,1.0,79.4,30.0,0.75,0,0,88.42500000000001,26.0,6.0,169
evan engram,DEN,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,606.0,9.3,4.0,0.0,0.0,0.0,0.0,1.0,42.5,30.0,0.75,0,0,88.10249999999999,27.0,6.0,170
elijah arroyo,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,458.0,10.4,3.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,86.77899999999998,28.0,6.0,171
nick westbrook-ikhine,MIA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,347.0,13.3,3.0,0.0,0.0,0.0,0.0,1.0,103.7,,1.0,0,0,86.19999999999999,80.0,16.0,172
marquez valdes-scantling,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,461.0,15.4,3.0,0.0,0.0,0.0,0.0,1.0,65.5,,1.0,0,0,85.51999999999998,81.0,17.0,173
malik washington,MIA,WR,0.0,0.0,0.0,0.0,3.0,17.0,5.7,0.0,30.0,308.0,10.3,2.0,252.0,1.0,103.0,0.0,1.0,28.8,24.0,1.05,0,0,85.512,82.0,17.0,174
jordan mason,MIN,RB,0.0,0.0,0.0,0.0,160.0,681.0,4.3,5.0,20.0,145.0,7.3,1.0,194.0,0.0,0.0,0.0,1.0,104.0,26.0,0.95,0,0,85.47349999999999,31.0,7.0,175
brian robinson,WAS,RB,0.0,0.0,0.0,0.0,174.0,735.0,4.2,6.0,21.0,149.0,7.1,1.0,0.0,0.0,0.0,0.0,1.0,139.8,26.0,0.95,0,0,85.10650000000001,32.0,7.0,176
rhamondre stevenson,NE,RB,0.0,0.0,0.0,0.0,142.0,601.0,4.2,4.0,26.0,183.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,142.9,27.0,0.9,0,0,84.472,33.0,7.0,177
adonai mitchell,IND,WR,0.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,30.0,436.0,14.5,3.0,0.0,0.0,0.0,0.0,1.0,30.8,22.0,1.15,0,0,84.36399999999998,83.0,17.0,178
brenton strange,JAX,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,472.0,9.6,3.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,1.05,0,0,83.937,29.0,6.0,179
darius slayton,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,548.0,14.8,3.0,0.0,0.0,0.0,0.0,1.0,71.0,28.0,0.85,0,0,83.43599999999999,84.0,17.0,180
jalen tolbert,DAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,378.0,12.2,2.0,0.0,0.0,0.0,0.0,1.0,103.0,26.0,0.95,0,0,83.08699999999999,85.0,17.0,181
jalen nailor,MIN,WR,0.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,30.0,383.0,12.8,3.0,0.0,0.0,0.0,0.0,1.0,75.0,,1.0,0,0,82.91,86.0,18.0,182
hollywood brown,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,656.0,13.4,4.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.85,0,0,82.467,87.0,18.0,183
tutu atwell,LAR,WR,0.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,33.0,422.0,12.8,3.0,0.0,0.0,0.0,0.0,1.0,56.9,,1.0,0,0,82.31,88.0,18.0,184
troy franklin,DEN,WR,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,28.0,389.0,13.9,3.0,0.0,0.0,0.0,0.0,1.0,39.1,22.0,1.15,0,0,81.83399999999999,89.0,18.0,185
darren waller,MIA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,486.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0,0,81.61999999999999,30.0,6.0,186
theo johnson,NYG,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,409.0,10.0,2.0,0.0,0.0,0.0,0.0,1.0,39.1,24.0,1.05,0,0,81.33300000000001,31.0,7.0,187
austin ekeler,WAS,RB,0.0,0.0,0.0,0.0,89.0,382.0,4.3,3.0,29.0,223.0,7.7,1.0,320.0,1.0,0.0,0.0,1.0,97.3,30.0,0.75,0,0,80.825,34.0,7.0,188
dyami brown,JAX,WR,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,41.0,557.0,13.6,3.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,1.0,0,0,80.28999999999999,90.0,18.0,189
omarion hampton,LAC,RB,0.0,0.0,0.0,0.0,231.0,1039.0,4.5,7.0,38.0,265.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,79.85249999999999,35.0,7.0,190
noah gray,KC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,353.0,10.1,3.0,0.0,0.0,0.0,0.0,1.0,73.3,26.0,0.95,0,0,79.61,32.0,7.0,191
tre tucker,LV,WR,0.0,0.0,0.0,0.0,8.0,36.0,4.5,0.0,26.0,322.0,12.4,2.0,75.0,0.0,112.0,0.0,1.0,82.3,,1.0,0,0,79.08,91.0,19.0,192
ray davis,BUF,RB,0.0,0.0,0.0,0.0,107.0,481.0,4.5,4.0,17.0,155.0,9.1,1.0,156.0,0.0,0.0,0.0,1.0,99.1,25.0,1.0,0,0,78.3,36.0,8.0,193
greg dortch,ARI,WR,0.0,0.0,0.0,0.0,7.0,37.0,5.3,0.0,31.0,281.0,9.1,2.0,177.0,0.0,296.0,0.0,1.0,53.3,,1.0,0,0,78.15,92.0,19.0,194
rico dowdle,CAR,RB,0.0,0.0,0.0,0.0,86.0,362.0,4.2,2.0,21.0,149.0,7.1,1.0,0.0,0.0,0.0,0.0,1.0,158.8,27.0,0.9,0,0,77.87299999999999,37.0,8.0,195
demarcus robinson,SF,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,343.0,13.7,2.0,0.0,0.0,0.0,0.0,1.0,92.5,,1.0,0,0,77.66,93.0,19.0,196
dalton schultz,HOU,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,467.0,10.4,3.0,0.0,0.0,0.0,0.0,1.0,65.2,29.0,0.8,0,0,77.08,33.0,7.0,197
jerome ford,CLE,RB,0.0,0.0,0.0,0.0,82.0,340.0,4.1,2.0,23.0,166.0,7.2,1.0,105.0,0.0,0.0,0.0,1.0,97.0,25.0,1.0,0,0,76.57,38.0,8.0,198
jaylin noel,HOU,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,411.0,11.7,3.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,75.75049999999999,94.0,19.0,199
jameis winston,NYG,QB,420.0,3.0,2.0,7.0,5.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,143.1,,1.0,0,0,75.3625,35.0,7.0,200
tyler conklin,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,316.0,9.6,2.0,0.0,0.0,0.0,0.0,1.0,70.9,,1.0,0,0,74.88999999999999,34.0,7.0,201
gabe davis,FA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,431.0,13.9,3.0,0.0,0.0,0.0,0.0,1.0,33.9,,1.0,0,0,74.64,95.0,19.0,202
javonte williams,DAL,RB,0.0,0.0,0.0,0.0,102.0,423.0,4.1,3.0,24.0,162.0,6.8,1.0,0.0,0.0,0.0,0.0,1.0,105.9,25.0,1.0,0,0,74.31,39.0,8.0,203
malachi corley,NYJ,WR,0.0,0.0,0.0,0.0,6.0,46.0,7.7,0.0,32.0,310.0,9.7,2.0,191.0,0.0,0.0,0.0,1.0,2.2,23.0,1.1,0,0,73.18299999999999,96.0,20.0,204
treveyon henderson,NE,RB,0.0,0.0,0.0,0.0,207.0,884.0,4.3,5.0,34.0,251.0,7.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,73.10549999999999,40.0,8.0,205
andrei iosas,CIN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,304.0,11.7,2.0,0.0,0.0,0.0,0.0,1.0,83.9,25.0,1.0,0,0,73.05000000000001,97.0,20.0,206
isiah pacheco,KC,RB,0.0,0.0,0.0,0.0,198.0,837.0,4.2,6.0,31.0,228.0,7.4,1.0,0.0,0.0,0.0,0.0,1.0,44.9,26.0,0.95,0,0,72.36349999999999,41.0,9.0,207
cole kmet,CHI,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,330.0,10.3,2.0,0.0,0.0,0.0,0.0,1.0,73.4,26.0,0.95,0,0,72.124,35.0,7.0,208
amari cooper,FA,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,570.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,78.7,31.0,0.7,0,0,71.89699999999999,98.0,20.0,209
isaac guerendo,SF,RB,0.0,0.0,0.0,0.0,103.0,443.0,4.3,3.0,14.0,102.0,7.3,1.0,233.0,0.0,0.0,0.0,1.0,79.2,25.0,1.0,0,0,71.50999999999999,42.0,9.0,210
jalen royals,KC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,381.0,11.9,3.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,1.15,0,0,70.92049999999999,99.0,20.0,211
justice hill,BAL,RB,0.0,0.0,0.0,0.0,35.0,165.0,4.7,1.0,32.0,254.0,7.9,2.0,0.0,0.0,0.0,0.0,1.0,85.1,27.0,0.9,0,0,70.199,43.0,9.0,212
cordarrelle patterson,FA,RB,0.0,0.0,0.0,0.0,30.0,130.0,4.3,1.0,6.0,45.0,7.5,0.0,742.0,0.0,0.0,0.0,1.0,25.5,,1.0,0,0,69.94,44.0,9.0,213
brandin cooks,NO,WR,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,30.0,390.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,43.6,,1.0,0,0,69.78,100.0,20.0,214
mason rudolph,PIT,QB,611.0,4.0,3.0,6.8,8.0,25.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,104.8,,1.0,0,0,69.43499999999999,36.0,8.0,215
will dissly,LAC,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,296.0,9.5,2.0,0.0,0.0,0.0,0.0,1.0,60.1,,1.0,0,0,68.85,36.0,8.0,216
jermaine burton,CIN,WR,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,24.0,340.0,14.2,2.0,188.0,0.0,0.0,0.0,1.0,10.7,24.0,1.05,0,0,68.6385,101.0,21.0,217
travis etienne,JAX,RB,0.0,0.0,0.0,0.0,147.0,632.0,4.3,4.0,39.0,295.0,7.6,2.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.95,0,0,68.23249999999999,45.0,9.0,218
rj harvey,DEN,RB,0.0,0.0,0.0,0.0,195.0,830.0,4.3,6.0,35.0,252.0,7.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,1.05,0,0,68.157,46.0,10.0,219
noah fant,FA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,308.0,10.3,2.0,0.0,0.0,0.0,0.0,1.0,56.0,,1.0,0,0,67.75999999999999,37.0,8.0,220
calvin austin,PIT,WR,0.0,0.0,0.0,0.0,3.0,14.0,4.7,0.0,34.0,441.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,0,0,67.27,102.0,21.0,221
will levis,TEN,QB,406.0,2.0,2.0,6.8,7.0,25.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,131.9,,1.0,0,0,67.1725,37.0,8.0,222
deandre hopkins,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,429.0,11.9,3.0,0.0,0.0,0.0,0.0,1.0,91.0,33.0,0.7,0,0,66.591,103.0,21.0,223
quinshon judkins,CLE,RB,0.0,0.0,0.0,0.0,223.0,938.0,4.2,6.0,27.0,196.0,7.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.2,0,0,66.484,47.0,10.0,224
derius davis,LAC,WR,0.0,0.0,0.0,0.0,7.0,40.0,5.7,0.0,12.0,145.0,12.1,1.0,445.0,1.0,199.0,0.0,1.0,27.1,,1.0,0,0,66.22999999999999,104.0,21.0,225
noah brown,WAS,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,330.0,12.7,2.0,0.0,0.0,0.0,0.0,1.0,51.3,,1.0,0,0,65.08999999999999,105.0,21.0,226
kenneth walker,SEA,RB,0.0,0.0,0.0,0.0,204.0,879.0,4.3,6.0,31.0,233.0,7.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,1.05,0,0,64.7205,48.0,10.0,227
devaughn vele,DEN,WR,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,31.0,305.0,9.8,2.0,0.0,0.0,0.0,0.0,1.0,65.5,27.0,0.9,0,0,63.989999999999995,106.0,22.0,228
spencer rattler,NO,QB,798.0,4.0,3.0,6.5,17.0,83.0,4.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.3,,1.0,0,0,63.79249999999999,38.0,8.0,229
tyler lockett,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,416.0,10.9,3.0,0.0,0.0,0.0,0.0,1.0,72.0,32.0,0.7,0,0,62.94399999999999,107.0,22.0,230
roschon johnson,CHI,RB,0.0,0.0,0.0,0.0,53.0,221.0,4.2,2.0,25.0,175.0,7.0,1.0,28.0,0.0,0.0,0.0,1.0,61.4,24.0,1.05,0,0,62.346500000000006,49.0,10.0,231
kareem hunt,KC,RB,0.0,0.0,0.0,0.0,63.0,254.0,4.0,2.0,10.0,72.0,7.2,1.0,0.0,0.0,0.0,0.0,1.0,132.4,,1.0,0,0,62.25999999999999,50.0,10.0,232
aj barner,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,278.0,9.9,2.0,0.0,0.0,0.0,0.0,1.0,48.5,,1.0,0,0,62.00999999999999,38.0,8.0,233
olamide zaccheaus,CHI,WR,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,23.0,238.0,10.3,2.0,0.0,0.0,62.0,0.0,1.0,67.4,,1.0,0,0,61.379999999999995,108.0,22.0,234
diontae johnson,CLE,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,379.0,10.8,2.0,0.0,0.0,0.0,0.0,1.0,56.1,29.0,0.8,0,0,61.007999999999996,109.0,22.0,235
curtis samuel,BUF,WR,0.0,0.0,0.0,0.0,4.0,24.0,6.0,0.0,30.0,307.0,10.2,2.0,0.0,0.0,0.0,0.0,1.0,32.7,,1.0,0,0,60.7,110.0,22.0,236
kaleb johnson,PIT,RB,0.0,0.0,0.0,0.0,193.0,820.0,4.2,6.0,25.0,182.0,7.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,1.2,0,0,60.628,51.0,11.0,237
